uid,loan_sum
2148,4.9094
2154,4.29265
2158,5.7987
2161,5.72277
2163,5.51868
2180,3.86259
2186,4.54437
2188,6.33987
2190,5.72277
2191,5.2267
2196,4.15416
2199,5.45514
2201,5.29215
2208,5.93181
2209,5.30446
2213,4.8616
2214,4.97484
2215,5.93181
2220,6.15341
2222,6.50111
2223,5.72277
2228,5.12168
2248,5.07059
2251,5.84631
2254,6.15341
2264,6.15341
2270,5.15354
2278,3.97567
2279,5.59185
2280,4.72302
2289,5.58414
2297,5.29215
2299,4.8616
2302,4.78221
2303,5.50118
2308,5.93181
2309,5.46463
2314,3.97567
2321,4.80982
2324,5.29215
2325,5.78198
2331,6.42571
2334,5.50118
2337,4.29265
2343,3.97567
2349,6.62901
2355,3.86259
2364,6.79313
2368,4.72302
2375,5.83604
2378,5.93181
2383,5.29215
2384,5.72277
2402,6.01477
2417,6.36247
2419,5.65731
2428,5.93181
2441,5.29215
2445,5.6909
2446,5.93181
2450,6.4831
2452,5.50118
2456,6.03389
2461,4.72302
2465,5.40542
2467,6.15341
2471,5.78198
2472,4.99521
2475,6.19545
2477,6.12155
2478,6.836
2481,6.89522
2484,5.15354
2485,6.58407
2486,5.48317
2488,5.40542
2491,4.97484
2492,6.58407
2498,5.83604
2505,3.86259
2507,6.59942
2518,4.97484
2521,6.15341
2527,6.4831
2531,6.01477
2532,6.64329
2538,5.40542
2543,5.29215
2547,4.72302
2553,5.07059
2561,5.72277
2582,5.29215
2583,6.79313
2584,6.50111
2585,5.35136
2586,4.72302
2591,6.70379
2593,5.2267
2604,5.65731
2606,4.9094
2615,6.06331
2620,6.26669
2623,5.29215
2624,5.99505
2628,6.72272
2631,5.65731
2633,5.72277
2646,3.86259
2651,6.15341
2653,5.65731
2663,5.72277
2682,5.29215
2686,6.836
2690,5.6218
2695,4.8616
2698,5.72277
2712,6.05244
2719,4.97484
2724,6.836
2726,5.29215
2735,5.2668
2736,5.83604
2737,6.29205
2742,6.836
2743,4.72302
2749,6.21263
2751,5.72277
2754,5.72277
2760,5.2267
2762,5.75308
2763,5.29215
2764,5.88577
2774,4.99521
2778,4.72302
2785,6.55221
2796,5.72277
2797,4.97484
2801,6.58407
2805,5.78198
2806,6.53227
2813,4.29265
2819,5.29215
2822,6.01477
2824,4.72302
2827,6.40533
2830,5.12168
2831,6.72272
2832,4.54437
2834,6.24025
2837,5.29215
2838,6.40533
2844,5.40542
2847,6.836
2855,5.97468
2857,6.46455
2860,5.29215
2862,5.07059
2865,5.29215
2871,6.31642
2876,5.40542
2878,5.58414
2894,6.24025
2896,6.15341
2901,4.9094
2902,5.30446
2911,4.72302
2922,6.01477
2930,5.83604
2932,6.75892
2939,5.72277
2942,4.78221
2948,6.72272
2949,5.65731
2953,5.07059
2954,4.97484
2955,6.14717
2957,6.64329
2962,5.29215
2965,6.01088
2971,6.60844
2973,6.47943
2983,5.65731
2993,5.97468
2995,5.62907
2996,5.93181
2998,7.64328
3001,5.29215
3004,5.40542
3006,4.72302
3015,4.72302
3019,5.72277
3028,5.29215
3032,6.13768
3035,6.836
3039,5.58414
3050,5.8614
3057,6.36247
3076,5.88577
3077,4.54437
3085,4.97484
3086,5.40542
3091,5.58414
3094,5.88577
3107,5.72277
3111,5.93181
3113,6.31642
3123,4.72302
3127,4.40583
3130,4.72302
3131,4.72302
3132,5.83604
3133,4.97484
3137,4.54437
3138,4.29265
3140,5.15354
3145,5.29215
3148,4.72302
3156,4.8616
3158,5.29215
3168,6.40533
3175,5.35136
3179,5.40542
3180,4.8616
3184,5.93181
3191,6.40533
3192,6.01477
3203,6.13449
3204,5.72277
3206,6.51861
3210,5.58414
3217,5.72277
3218,5.10511
3220,3.97567
3236,6.39066
3237,6.12155
3239,5.65731
3244,5.31652
3247,3.86259
3249,6.08795
3255,6.29205
3264,4.97484
3265,6.05244
3267,6.05244
3271,5.93181
3272,5.69741
3274,6.33987
3280,5.75308
3281,4.29265
3284,4.72302
3286,6.50111
3289,4.22726
3290,4.72302
3294,5.29215
3307,6.31642
3308,5.78198
3311,5.32835
3317,5.29215
3326,6.40533
3331,6.15341
3338,4.72302
3339,5.29215
3350,6.15341
3351,5.50118
3356,4.72302
3358,6.62901
3366,6.836
3369,6.12155
3377,5.97468
3380,6.15341
3382,4.72302
3387,5.72277
3394,5.65731
3396,5.35136
3405,5.29215
3406,6.80413
3407,6.18373
3410,6.07045
3412,6.19835
3419,5.2267
3431,5.72277
3433,5.6909
3452,5.29215
3454,5.72277
3461,6.58407
3462,6.26669
3465,6.10498
3470,5.29215
3476,5.93181
3477,5.40542
3478,4.45552
3482,5.40542
3488,6.98206
3492,5.72277
3496,5.97468
3508,6.07045
3520,6.46455
3527,5.78198
3538,6.58407
3541,5.72277
3543,6.31642
3547,6.72272
3552,5.88577
3566,5.88577
3572,6.01477
3585,5.8614
3590,5.62907
3591,5.29215
3594,4.97484
3612,6.01477
3615,4.29265
3616,5.15354
3621,5.72277
3624,4.97484
3626,5.83604
3627,4.72302
3631,5.90922
3641,4.72302
3643,5.72277
3654,5.72277
3656,5.93181
3665,4.29265
3668,3.86259
3671,5.29215
3673,6.24025
3683,5.65731
3688,3.86259
3691,6.94669
3700,6.29205
3701,6.33987
3702,5.83604
3705,5.83604
3706,5.72277
3712,5.58414
3714,5.50118
3717,4.29265
3718,6.24025
3719,5.12168
3721,4.54437
3724,5.72277
3725,3.86259
3728,5.15354
3730,4.72302
3742,5.29215
3743,5.72277
3752,5.45514
3758,4.54437
3760,4.75332
3761,6.15341
3763,5.8614
3769,6.40533
3774,3.86259
3775,4.72302
3776,5.78198
3777,5.72277
3778,6.15341
3780,5.15354
3782,6.01477
3783,5.97468
3787,5.29215
3792,4.29265
3800,5.40542
3803,5.50118
3808,6.18373
3811,4.29265
3812,4.8616
3813,4.97484
3820,6.32591
3823,5.93181
3828,5.07059
3829,4.35181
3839,5.40542
3840,4.97484
3850,5.72277
3851,6.15341
3854,6.40533
3855,4.54437
3856,5.72277
3859,6.40533
3861,6.15341
3865,5.83604
3870,5.97468
3874,6.33987
3875,4.65759
3876,5.72277
3882,6.15341
3897,3.86259
3900,4.97484
3902,6.58252
3906,5.72277
3908,5.93181
3909,5.58414
3910,3.86259
3911,6.29205
3919,4.72302
3920,5.96634
3924,6.44543
3926,6.26669
3939,6.85637
3945,4.54437
3952,5.78198
3953,6.73502
3957,5.40542
3961,4.29265
3967,6.97464
3969,5.29215
3971,6.15341
3973,5.65731
3974,5.15354
3979,4.72302
3983,5.65731
3986,5.72277
3987,4.97484
3988,6.79313
3991,5.29215
3996,6.08795
4002,5.2267
4014,5.12168
4015,4.72302
4016,5.93181
4025,4.72302
4035,5.78198
4043,3.86259
4046,5.83604
4048,4.29265
4059,6.01477
4073,5.65731
4076,3.86259
4077,6.62901
4081,5.72277
4085,4.54437
4089,5.83604
4095,4.72302
4099,5.41568
4107,6.18373
4112,3.97567
4123,5.15354
4127,4.97484
4129,5.95361
4131,4.72302
4133,5.29215
4140,5.15354
4142,5.58414
4156,5.58414
4163,5.40542
4164,5.15354
4168,5.50118
4169,5.78198
4170,5.72277
4179,5.50118
4181,4.9094
4186,5.29215
4189,5.19846
4193,5.6909
4194,7.1837
4196,5.15354
4200,5.2267
4204,5.78198
4207,4.72302
4209,4.72302
4224,5.15354
4225,5.78198
4226,6.01477
4232,5.72277
4233,5.73507
4240,5.50118
4247,5.72277
4249,3.86259
4263,4.29265
4265,5.72277
4267,5.97468
4271,6.51861
4272,4.97484
4275,5.29215
4288,6.15341
4289,6.15341
4294,6.21263
4304,6.15341
4309,6.32826
4326,6.40533
4332,5.50118
4337,5.15354
4340,6.40533
4343,4.97484
4347,4.54437
4352,5.29215
4353,6.85637
4370,4.29265
4373,4.97484
4374,5.50118
4377,5.15354
4380,6.99901
4395,5.93181
4396,5.88577
4407,5.58414
4408,4.75332
4410,5.72277
4413,5.72277
4414,3.86259
4423,4.29265
4427,5.58414
4429,5.58414
4439,4.97484
4447,6.44543
4456,5.35136
4459,5.56039
4473,6.15341
4478,5.54404
4479,5.15354
4496,5.58414
4500,5.40542
4502,6.08795
4507,5.50118
4508,5.07059
4513,5.97052
4514,4.72302
4524,4.29265
4530,6.55221
4531,5.65731
4546,4.72302
4548,5.88577
4552,5.69741
4554,5.50118
4555,6.44543
4558,6.75303
4559,6.29205
4566,6.58407
4575,6.10498
4580,6.15341
4583,6.89522
4593,5.29215
4595,5.93181
4596,4.72302
4598,5.93181
4603,3.86259
4604,5.97468
4605,5.67097
4609,5.15354
4611,5.01493
4612,5.65731
4619,4.29265
4622,3.86259
4624,6.05244
4625,5.72277
4632,4.97484
4635,4.29265
4636,5.29215
4637,4.97484
4638,4.72302
4641,4.97484
4647,4.29265
4648,5.72277
4649,4.54437
4653,5.07059
4663,4.99521
4667,5.88577
4669,6.01477
4672,5.72277
4677,6.01477
4684,4.99521
4686,4.97484
4688,4.97484
4702,5.72277
4704,5.40542
4712,4.40583
4713,3.86259
4725,5.78198
4727,4.29265
4730,6.29205
4734,6.29205
4737,6.18373
4744,5.93181
4748,5.15354
4749,5.29215
4753,5.29215
4758,5.95361
4760,3.97567
4764,5.72277
4770,4.72302
4771,4.72302
4774,6.40326
4783,5.16888
4797,5.78198
4798,5.72277
4799,5.29215
4809,5.07059
4830,5.38436
4836,4.72302
4861,6.38427
4862,4.97484
4866,6.40533
4876,5.07059
4881,4.97484
4892,6.38427
4893,4.97484
4896,5.83604
4902,4.29265
4905,5.72277
4907,4.72302
4908,5.29215
4910,6.74349
4916,4.83625
4923,5.40542
4924,6.46455
4925,5.71652
4926,5.78198
4928,6.24025
4944,6.52718
4946,5.29215
4947,4.29265
4955,5.97468
4957,6.17778
4964,5.99103
4966,4.72302
4973,5.93181
4981,5.2796
4985,4.54437
4989,6.31642
4990,6.26669
4993,4.54437
4994,5.40542
4996,5.29215
5001,3.86259
5004,5.83604
5006,5.72277
5008,5.2796
5010,6.15341
5013,5.10511
5014,6.46455
5018,6.15341
5021,5.15354
5023,6.72272
5024,5.78198
5028,5.72277
5039,4.65759
5046,4.8616
5051,6.58407
5052,4.97484
5056,5.50118
5058,4.29265
5061,5.50118
5063,5.2668
5077,4.72302
5079,5.29215
5083,5.83604
5084,4.72302
5086,5.88577
5092,5.15354
5096,6.15341
5098,4.97484
5102,6.18373
5121,5.88577
5124,3.97567
5129,5.58414
5130,6.65726
5140,5.86635
5145,5.72277
5153,6.72272
5155,4.0713
5160,5.88577
5161,4.29265
5171,6.05244
5172,5.72277
5174,5.29215
5179,5.29215
5184,5.8096
5192,5.57632
5200,4.15416
5201,5.2267
5205,5.36256
5207,4.97484
5213,4.0713
5214,5.35136
5225,6.01477
5232,6.15341
5239,5.58414
5240,4.97484
5241,5.78198
5242,5.03404
5243,5.30446
5246,4.35181
5251,4.8616
5261,6.13768
5274,5.50118
5279,5.15354
5280,6.40533
5281,5.15354
5282,5.54404
5290,5.15354
5291,5.83604
5307,5.93181
5311,3.86259
5312,5.40542
5315,5.35136
5319,5.29215
5330,5.97468
5334,6.40533
5335,5.50118
5338,5.72277
5339,4.29265
5340,5.40542
5342,6.38427
5354,5.07059
5355,5.2668
5357,5.29215
5359,6.12155
5361,5.78198
5367,5.58414
5371,4.97484
5372,5.29215
5378,4.29265
5381,5.58414
5382,6.01088
5387,5.35136
5392,5.8096
5399,5.78198
5401,5.88577
5404,4.88596
5406,5.29215
5417,5.2267
5421,5.5357
5425,4.29265
5432,5.24036
5434,5.97468
5437,5.40542
5439,6.05608
5443,5.21274
5445,5.18385
5447,5.88577
5452,6.24025
5453,5.75308
5462,6.15341
5466,6.15341
5468,4.97484
5471,3.86259
5473,4.72302
5475,6.29701
5484,4.9094
5488,6.12155
5495,5.54404
5508,5.72277
5518,4.72302
5521,5.40542
5523,5.78198
5531,4.50154
5534,5.65731
5538,5.15354
5543,5.83604
5546,5.40542
5549,6.08795
5553,6.05244
5558,5.50118
5569,5.6218
5594,4.72302
5596,6.29205
5597,5.73507
5612,5.78198
5616,6.31163
5618,6.72272
5620,6.02632
5627,4.72302
5632,6.18373
5636,5.72277
5638,5.97468
5639,4.29265
5650,6.62901
5652,5.8614
5661,5.30446
5662,6.15341
5681,5.83604
5684,7.01474
5692,4.72302
5706,6.65726
5707,5.07059
5709,5.29215
5711,5.58414
5713,6.08795
5721,6.08795
5725,6.73745
5730,5.8412
5735,5.39497
5741,5.2668
5746,5.01493
5747,5.65731
5749,6.40533
5753,5.54404
5754,4.97484
5756,6.26669
5761,6.24025
5762,5.29215
5772,5.72277
5774,5.97468
5778,6.15341
5780,6.89522
5785,5.72277
5788,4.54437
5793,6.18373
5809,4.88596
5813,6.08795
5815,5.97052
5818,6.08795
5823,5.88577
5828,5.65731
5835,5.72277
5841,4.8616
5854,5.2267
5861,6.12155
5862,5.38436
5866,5.97468
5871,4.75332
5874,5.72277
5878,5.63625
5890,4.97484
5901,5.40542
5903,6.15341
5905,4.8616
5927,5.50118
5930,5.78198
5940,4.72302
5941,5.72277
5946,5.29215
5953,5.29215
5956,6.01477
5958,5.78198
5960,5.99505
5961,6.36247
5964,5.72277
5965,6.85637
5966,5.72277
5969,4.72302
5970,6.15341
5973,5.83604
5988,5.8614
5993,4.0713
5996,5.72277
5997,6.40533
6002,4.40583
6010,5.88577
6011,6.40533
6015,5.72277
6030,4.29265
6033,5.45514
6035,5.93181
6039,6.21263
6045,5.93181
6060,6.15341
6065,6.31642
6066,6.26669
6068,6.15341
6073,5.83604
6074,5.97468
6083,4.72302
6097,3.86259
6100,5.03404
6101,5.72277
6103,6.08795
6105,5.42579
6111,4.97484
6115,6.64329
6123,5.45514
6125,5.29215
6126,7.07396
6132,5.15354
6133,4.97484
6134,5.58414
6137,6.58407
6140,5.54404
6141,4.72302
6145,5.78198
6147,5.65731
6157,5.29215
6158,6.4297
6168,5.58414
6169,6.21263
6171,5.42579
6172,5.45514
6178,6.72272
6179,5.2796
6180,6.08795
6182,6.15341
6186,3.86259
6188,5.72277
6191,6.54065
6193,5.29215
6194,3.86259
6200,5.83604
6203,5.40542
6210,5.78198
6213,6.54398
6225,5.50118
6232,4.29265
6236,5.97881
6249,5.83604
6258,5.15354
6267,4.29265
6273,4.72302
6279,5.72277
6280,5.8614
6281,4.0713
6291,5.15354
6300,6.01477
6303,4.72302
6306,6.61439
6321,5.72277
6324,6.15341
6332,5.72277
6353,5.29215
6354,6.01477
6361,5.67097
6365,6.58407
6369,5.15354
6373,4.29265
6375,5.72277
6377,5.29215
6379,5.61445
6381,5.72277
6383,4.40583
6391,5.65731
6400,6.05244
6401,5.15354
6406,5.15354
6411,6.12155
6425,5.72277
6431,5.72277
6435,5.2267
6437,5.72277
6438,6.26669
6441,5.58414
6447,6.00302
6448,4.29265
6453,6.40533
6454,6.84627
6455,6.40533
6456,6.44543
6459,5.72277
6462,5.15354
6463,5.15354
6464,5.65731
6465,6.15341
6468,5.83604
6479,4.0713
6492,5.15354
6496,4.78221
6497,6.40533
6499,4.72302
6505,5.78198
6507,5.29215
6520,5.72277
6521,6.01477
6530,5.29215
6532,5.88577
6533,4.29265
6537,5.88577
6538,4.72302
6539,5.29215
6541,5.67097
6545,5.29215
6553,5.89526
6555,5.07059
6556,5.35136
6559,7.16873
6563,5.2267
6573,6.12155
6577,6.51861
6581,6.62901
6582,5.87126
6592,3.86259
6593,5.05259
6601,6.78194
6602,6.29205
6603,4.29265
6605,5.81498
6610,5.65731
6618,5.58414
6623,6.42571
6624,6.15341
6625,5.29215
6626,5.45514
6629,5.78198
6634,4.97484
6645,4.8616
6646,5.58414
6647,6.40533
6651,6.46831
6657,7.54131
6669,6.08795
6672,5.29215
6677,4.0713
6682,5.72277
6689,4.97484
6698,4.72302
6709,6.29205
6714,5.29215
6720,5.72277
6741,4.54437
6744,4.72302
6749,6.62901
6750,6.31642
6757,4.69116
6759,6.05244
6766,4.93199
6770,4.40583
6777,3.97567
6779,5.65731
6782,5.50118
6783,6.36247
6785,6.4831
6786,6.46455
6788,5.29215
6795,4.99521
6796,5.97468
6800,5.72277
6801,5.35136
6804,5.93181
6806,4.58445
6807,5.65731
6810,6.15341
6812,5.88577
6817,5.72277
6818,4.72302
6819,6.15341
6829,5.93181
6830,6.33987
6840,5.72277
6844,4.72302
6855,5.15354
6858,5.97468
6861,6.12155
6863,4.93199
6879,5.15354
6880,6.40533
6883,6.40533
6888,5.83604
6895,5.29215
6896,3.86259
6901,5.29215
6905,4.62209
6907,5.16888
6908,3.86259
6912,5.35136
6913,5.29215
6915,5.78198
6916,5.29215
6924,4.72302
6926,6.72272
6927,5.72277
6929,5.35136
6931,5.29215
6944,6.72272
6945,6.26669
6946,6.31642
6947,5.83604
6951,6.18373
6955,5.72277
6962,5.96634
6968,6.15341
6974,4.97484
6978,5.29215
6983,5.93181
6984,4.29265
6986,5.74714
6990,5.58414
6993,5.83604
6998,6.40533
7001,6.14086
7007,5.29215
7008,4.72302
7009,6.44543
7010,5.40542
7012,6.42571
7015,5.72277
7020,4.29265
7028,6.40533
7036,4.29265
7045,5.72277
7047,5.72277
7067,3.97567
7069,5.72277
7094,4.97484
7104,5.29215
7105,5.54404
7110,6.21263
7111,5.97468
7124,5.65731
7127,6.15341
7129,6.01477
7132,5.15354
7135,6.15341
7137,4.93199
7140,3.97567
7141,5.29215
7142,6.04878
7154,6.24025
7156,6.15341
7160,4.29265
7173,5.15354
7187,6.05244
7194,5.83604
7195,5.24036
7196,5.93181
7199,5.40542
7201,3.86259
7204,6.68427
7209,4.72302
7238,6.15341
7240,5.83604
7242,4.29265
7243,4.29265
7244,4.54437
7245,5.72277
7247,6.72272
7254,4.72302
7266,5.50118
7271,5.72277
7275,5.65731
7285,5.65731
7295,5.36256
7296,4.29265
7299,5.72277
7301,4.83625
7309,5.6909
7310,4.9094
7316,5.2267
7317,5.40542
7318,5.72277
7319,6.58407
7321,4.97484
7326,5.31652
7332,5.50118
7333,5.2267
7336,5.97468
7349,6.46455
7352,5.58414
7353,5.93181
7365,6.51861
7369,5.48317
7371,5.15354
7378,6.12155
7389,4.97484
7400,4.58445
7403,5.40542
7408,3.86259
7410,5.50118
7411,4.29265
7412,6.50111
7413,7.15339
7415,4.72302
7419,6.58407
7422,4.75332
7424,4.54437
7430,5.29215
7431,4.29265
7439,6.58407
7447,5.29215
7477,6.24025
7481,6.2795
7482,5.40542
7485,5.83604
7493,5.78198
7502,5.29215
7505,4.15416
7506,5.97468
7508,5.83604
7509,5.45514
7511,5.72277
7515,5.83604
7522,4.29265
7525,6.15341
7529,4.97484
7531,5.29215
7532,5.50118
7535,5.65731
7536,5.29215
7544,5.15354
7547,5.93181
7555,6.89522
7556,5.72277
7557,4.72302
7569,6.58407
7573,6.35801
7584,6.29205
7589,6.15341
7598,5.50118
7599,5.97468
7605,3.86259
7630,4.72302
7634,4.15416
7648,5.72277
7649,5.58414
7650,5.58414
7658,6.19254
7660,5.6218
7661,6.15341
7666,6.59942
7669,6.15341
7673,5.35136
7676,6.836
7678,5.72277
7685,6.08795
7711,5.40542
7715,6.05971
7723,5.78198
7725,4.54437
7732,6.15341
7733,5.50118
7734,6.15341
7743,5.52725
7744,6.15341
7747,6.4831
7751,5.65731
7753,4.80982
7758,5.65731
7761,6.72272
7766,5.88577
7773,4.72302
7779,6.29205
7784,5.41568
7789,5.72277
7814,5.83604
7834,5.78198
7837,6.20696
7841,6.01477
7842,5.88577
7845,4.97484
7846,5.54404
7850,3.86259
7852,4.72302
7859,5.45514
7860,6.957
7861,5.97468
7872,5.45514
7873,5.40542
7874,5.50118
7881,4.72302
7883,4.97484
7884,5.50118
7886,4.29265
7887,4.54437
7890,6.29205
7892,5.50118
7901,5.40542
7907,6.42571
7915,6.01477
7928,5.88577
7933,5.88577
7936,5.65731
7937,5.72277
7942,5.40542
7951,5.97468
7953,5.29215
7954,6.01477
7956,4.72302
7958,5.97468
7959,5.63625
7965,4.97484
7967,6.97464
7972,6.63189
7988,5.88577
7989,5.69741
8001,6.15341
8019,4.29265
8028,5.50118
8037,4.97484
8038,5.6909
8050,5.72277
8054,6.15341
8055,5.72277
8056,6.95955
8057,6.94928
8058,5.2796
8062,5.93181
8080,6.21263
8081,6.40533
8099,6.29205
8123,6.72272
8124,4.97484
8128,5.78198
8137,4.29265
8139,4.9094
8142,5.50118
8146,4.72302
8158,5.57632
8161,4.72302
8165,6.34217
8166,6.78194
8169,4.97484
8170,5.88577
8172,5.29215
8176,5.15354
8178,6.78194
8189,5.15354
8195,5.29215
8211,5.15354
8213,6.29205
8221,5.72277
8226,4.29265
8229,5.97468
8230,5.88577
8235,5.78198
8238,5.65731
8244,6.07751
8252,6.15341
8255,5.50118
8256,6.4831
8264,6.38427
8265,5.83604
8267,5.83604
8272,5.35136
8280,5.15354
8289,4.29265
8290,4.29265
8300,6.15341
8310,6.05244
8312,5.72277
8315,6.15341
8318,4.72302
8319,4.97484
8324,5.65731
8330,5.29215
8333,4.97484
8339,4.8616
